date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-06-11 00:00:00,993.2,10.5,49.0,,,20.0,5.8,6.7,
2002-06-12 00:00:00,992.1,11.6,79.0,,,13.3,5.2,0.3,
2002-06-13 00:00:00,990.6,11.2,86.0,,,11.6,3.8,6.6,
2002-06-14 00:00:00,994.1,10.1,69.0,,,13.1,3.9,14.1,
2002-06-15 00:00:00,988.6,9.9,63.0,,,15.1,7.1,0.3,
2002-06-16 00:00:00,990.1,11.3,78.0,,,13.4,9.8,0.3,
2002-06-17 00:00:00,994.4,12.5,73.0,,,14.1,5.3,1.2,
2002-06-18 00:00:00,992.8,13.6,76.0,,,15.9,5.5,0.1,
2002-06-19 00:00:00,994.1,12.1,72.0,,,13.5,5.3,0.1,
2002-06-20 00:00:00,1000.4,9.5,68.0,,,13.3,5.4,7.2,
2002-06-21 00:00:00,999.1,11.3,78.0,,,12.1,6.2,0.0,
2002-06-22 00:00:00,996.1,11.6,84.0,,,12.0,4.0,1.5,
2002-06-23 00:00:00,986.7,11.8,77.0,,,13.3,3.8,1.5,
2002-06-24 00:00:00,997.5,9.9,71.0,,,11.7,5.0,4.4,
2002-06-25 00:00:00,994.5,11.5,76.0,,,11.6,4.4,1.9,
2002-06-26 00:00:00,989.3,9.2,64.0,,,12.8,5.1,11.6,
2002-06-27 00:00:00,986.5,12.1,79.0,,,12.6,5.1,4.6,
2002-06-28 00:00:00,989.8,10.7,76.0,,,12.2,5.1,2.6,
2002-06-29 00:00:00,992.1,10.5,76.0,,,11.7,5.5,9.0,
2002-06-30 00:00:00,987.7,9.9,77.0,,,11.8,4.5,0.4,
2002-07-01 00:00:00,980.1,9.3,60.0,,,13.8,4.0,0.0,
2002-07-02 00:00:00,974.7,9.1,57.0,,,15.6,6.2,0.0,
2002-07-03 00:00:00,979.7,11.3,64.0,,,14.5,6.8,0.1,
2002-07-04 00:00:00,990.8,13.0,69.0,,,15.0,4.4,1.3,
2002-07-05 00:00:00,989.8,11.2,81.0,,,12.8,5.4,3.4,
2002-07-06 00:00:00,992.7,11.5,81.0,,,11.7,4.5,4.1,
2002-07-07 00:00:00,993.2,10.7,70.0,,,12.3,4.5,2.7,
2002-07-08 00:00:00,992.2,12.0,67.0,,,15.1,3.7,0.3,
2002-07-09 00:00:00,993.7,13.6,60.0,,,18.6,5.6,0.0,
2002-07-10 00:00:00,993.6,16.6,60.0,,,22.2,5.6,1.8,
2002-07-11 00:00:00,991.4,13.9,67.0,,,20.8,7.7,0.3,
2002-07-12 00:00:00,1002.8,12.2,81.0,,,13.8,6.4,2.3,
2002-07-13 00:00:00,1009.5,11.4,72.0,,,15.3,5.8,0.8,
2002-07-14 00:00:00,1010.2,11.1,67.0,,,16.9,3.5,0.1,
2002-07-15 00:00:00,1006.9,12.8,75.0,,,15.8,4.5,0.0,
