Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,15.02.2011,-4.9,8.3,0,0
Trondheim - Voll,SN68860,16.02.2011,-5.6,6.4,0,0
Trondheim - Voll,SN68860,17.02.2011,-4,6.7,0,0
Trondheim - Voll,SN68860,18.02.2011,-5.9,4.1,0.1,0
Trondheim - Voll,SN68860,19.02.2011,-8,3.1,0,0
Trondheim - Voll,SN68860,20.02.2011,-7.4,4.7,0.2,0
Trondheim - Voll,SN68860,21.02.2011,-4.4,4.9,0,0
Trondheim - Voll,SN68860,22.02.2011,-7,4.8,0.2,0
Trondheim - Voll,SN68860,23.02.2011,-8.7,5.2,0.1,0
Trondheim - Voll,SN68860,24.02.2011,-4.2,4.4,0,0
Trondheim - Voll,SN68860,25.02.2011,3.4,4.4,5.6,0
Trondheim - Voll,SN68860,26.02.2011,5.8,7.3,0.8,0
Trondheim - Voll,SN68860,27.02.2011,3.3,3.8,0.1,1
Trondheim - Voll,SN68860,28.02.2011,2.3,4.8,0.3,1
Trondheim - Voll,SN68860,01.03.2011,1.1,6.2,0.2,0
Trondheim - Voll,SN68860,02.03.2011,5.8,8.6,0,1
Trondheim - Voll,SN68860,03.03.2011,2.6,11.1,2.1,1
Trondheim - Voll,SN68860,04.03.2011,2.7,8.4,0.7,1
Trondheim - Voll,SN68860,05.03.2011,-1.1,9.9,16.4,1
Trondheim - Voll,SN68860,06.03.2011,-0.7,6.3,5,1
Trondheim - Voll,SN68860,07.03.2011,3.6,4.8,2.4,0
Trondheim - Voll,SN68860,08.03.2011,5.8,10.8,2.6,1
Trondheim - Voll,SN68860,09.03.2011,1.6,8.2,1.8,0
Trondheim - Voll,SN68860,10.03.2011,-1.6,4.9,1.2,0
Trondheim - Voll,SN68860,11.03.2011,-1.4,5.7,0.5,0
Trondheim - Voll,SN68860,12.03.2011,1,13.1,0.6,0
Trondheim - Voll,SN68860,13.03.2011,1.1,4.3,0.9,1
Trondheim - Voll,SN68860,14.03.2011,0.4,3.7,0.1,0
Trondheim - Voll,SN68860,15.03.2011,0.5,3.2,0.1,0
Trondheim - Voll,SN68860,16.03.2011,2.9,7.3,0,0
Trondheim - Voll,SN68860,17.03.2011,1.6,11.4,0,0
Trondheim - Voll,SN68860,18.03.2011,0.3,4.8,0.3,1
Trondheim - Voll,SN68860,19.03.2011,2.2,7.3,5.2,0
Trondheim - Voll,SN68860,20.03.2011,6.1,6,0.4,1
Trondheim - Voll,SN68860,21.03.2011,5.7,9.9,5.9,1
Trondheim - Voll,SN68860,22.03.2011,2.6,14.9,25.3,1
Trondheim - Voll,SN68860,23.03.2011,1.2,14.7,7.9,1
Trondheim - Voll,SN68860,24.03.2011,-1.7,11.3,9.2,1
Trondheim - Voll,SN68860,25.03.2011,-3,9,8.3,1
Trondheim - Voll,SN68860,26.03.2011,-2.6,6.7,10.9,0
Trondheim - Voll,SN68860,27.03.2011,0,7.4,6.4,1
Trondheim - Voll,SN68860,28.03.2011,-1.3,4.3,6.2,1
Trondheim - Voll,SN68860,29.03.2011,-1.6,6.8,3.7,1
Trondheim - Voll,SN68860,30.03.2011,-0.5,4.4,6.4,0
Trondheim - Voll,SN68860,31.03.2011,0.9,6.3,0.6,0
Trondheim - Voll,SN68860,01.04.2011,3.4,5.1,0,0
Trondheim - Voll,SN68860,02.04.2011,10.1,8.8,1.2,1
Trondheim - Voll,SN68860,03.04.2011,6.4,5.8,1,0
Trondheim - Voll,SN68860,04.04.2011,5.1,8.7,0.1,0
Trondheim - Voll,SN68860,05.04.2011,5.5,5.6,0,1
Trondheim - Voll,SN68860,06.04.2011,5.9,7.3,0.9,1
Trondheim - Voll,SN68860,07.04.2011,4,8.6,3.5,1
Trondheim - Voll,SN68860,08.04.2011,4.2,11.8,5.2,1
Trondheim - Voll,SN68860,09.04.2011,4.8,8,7.1,1
Trondheim - Voll,SN68860,10.04.2011,8.9,5.3,1.5,1
